 1: 3, 18, 30, 38, 49, 52, 57, 63, 70, 89
 2: 13, 15, 25, 38, 52, 53, 58, 64, 66, 97
 3: 1, 7, 14, 20, 22, 28, 47, 67, 71, 81
 4: 7, 27, 37, 38, 47, 51, 61, 79, 81, 95
 5: 10, 29, 34, 51, 59, 62, 66, 82, 89, 96
 6: 1, 5, 27, 28, 55, 59, 68, 71, 95, 97
 7: 7, 19, 28, 42, 47, 55, 56, 75, 79, 80
 8: 5, 8, 25, 33, 46, 60, 63, 77, 79, 90
 9: 28, 31, 32, 33, 39, 46, 51, 78, 96, 100
 10: 2, 26, 27, 30, 32, 37, 46, 65, 71, 82
 11: 12, 23, 25, 31, 41, 53, 63, 79, 81, 87
 12: 2, 4, 5, 13, 37, 49, 69, 77, 87, 93
 13: 4, 11, 15, 24, 46, 67, 69, 70, 89, 94
 14: 3, 4, 16, 32, 59, 71, 73, 89, 91, 92
 15: 1, 14, 32, 36, 50, 63, 66, 87, 90, 98
 16: 9, 12, 19, 22, 32, 49, 59, 69, 81, 97
 17: 4, 14, 24, 33, 64, 70, 76, 78, 92, 95
 18: 13, 17, 18, 57, 73, 74, 82, 90, 92, 97
 19: 16, 18, 24, 45, 53, 54, 55, 59, 82, 83
 20: 21, 42, 47, 51, 53, 54, 56, 77, 92, 93
 21: 18, 23, 31, 41, 47, 61, 75, 78, 84, 92
 22: 5, 32, 36, 41, 44, 51, 61, 70, 84, 99
 23: 26, 36, 43, 48, 58, 59, 71, 90, 91, 93
 24: 2, 16, 19, 44, 46, 60, 79, 81, 84, 85
 25: 1, 10, 15, 19, 22, 36, 51, 56, 81, 90
 26: 9, 29, 31, 39, 47, 69, 72, 73, 74, 80
 27: 6, 12, 32, 33, 48, 60, 76, 86, 87, 98
 28: 4, 15, 37, 40, 41, 49, 56, 57, 73, 100
 29: 3, 4, 5, 35, 57, 68, 74, 92, 94, 100
 30: 1, 14, 42, 43, 49, 54, 61, 68, 79, 90
 31: 3, 7, 19, 32, 35, 38, 53, 78, 80, 82
 32: 38, 39, 48, 49, 54, 67, 76, 82, 90, 94
 33: 1, 3, 30, 39, 62, 68, 70, 73, 81, 94
 34: 3, 11, 18, 29, 47, 48, 50, 56, 65, 71
 35: 12, 16, 36, 39, 42, 45, 64, 72, 75, 96
 36: 12, 17, 24, 39, 53, 55, 59, 62, 75, 79
 37: 1, 6, 11, 27, 48, 55, 61, 84, 91, 98
 38: 1, 9, 22, 25, 31, 38, 61, 64, 80, 88
 39: 13, 22, 29, 35, 45, 55, 63, 66, 68, 79
 40: 1, 3, 4, 8, 13, 36, 53, 56, 81, 87
 41: 12, 14, 22, 26, 28, 60, 67, 76, 95, 99
 42: 4, 17, 34, 47, 54, 76, 79, 80, 90, 95
 43: 26, 27, 30, 41, 45, 51, 59, 66, 82, 99
 44: 10, 15, 18, 27, 33, 39, 57, 61, 62, 85
 45: 2, 8, 16, 19, 32, 46, 47, 50, 77, 84
 46: 4, 11, 14, 18, 26, 43, 61, 89, 93, 99
 47: 1, 2, 4, 6, 22, 31, 34, 50, 55, 67
 48: 6, 9, 10, 21, 23, 61, 75, 76, 92, 96
 49: 15, 16, 63, 73, 79, 83, 86, 97, 99, 100
 50: 7, 39, 43, 50, 58, 60, 61, 69, 74, 77
 51: 13, 21, 28, 38, 44, 47, 61, 68, 93, 95
 52: 24, 26, 41, 44, 74, 76, 77, 79, 80, 90
 53: 3, 4, 16, 20, 24, 33, 51, 62, 78, 83
 54: 8, 11, 39, 42, 45, 49, 79, 80, 85, 99
 55: 12, 27, 32, 42, 59, 61, 75, 76, 81, 100
 56: 7, 14, 15, 16, 20, 46, 54, 75, 93, 94
 57: 13, 43, 45, 50, 52, 60, 61, 77, 87, 95
 58: 2, 4, 29, 38, 39, 49, 57, 64, 72, 93
 59: 2, 9, 26, 37, 38, 67, 75, 76, 96, 97
 60: 11, 14, 15, 21, 33, 38, 51, 54, 75, 78
 61: 17, 25, 29, 43, 44, 50, 63, 71, 79, 92
 62: 6, 28, 37, 60, 70, 72, 78, 81, 85, 95
 63: 3, 19, 27, 34, 53, 54, 70, 72, 74, 84
 64: 12, 19, 23, 29, 30, 33, 41, 45, 58, 87
 65: 25, 37, 38, 43, 50, 55, 62, 69, 70, 76
 66: 3, 18, 22, 34, 41, 44, 48, 57, 72, 83
 67: 3, 7, 11, 48, 56, 57, 63, 64, 93, 100
 68: 14, 28, 42, 48, 54, 58, 61, 62, 82, 100
 69: 8, 26, 40, 47, 50, 52, 56, 59, 79, 90
 70: 8, 11, 25, 32, 41, 62, 73, 85, 86, 91
 71: 6, 7, 12, 18, 55, 57, 61, 67, 78, 100
 72: 21, 35, 39, 55, 58, 81, 82, 83, 86, 91
 73: 9, 17, 54, 67, 82, 88, 91, 92, 98, 100
 74: 11, 17, 25, 37, 46, 68, 76, 85, 88, 97
 75: 17, 46, 53, 54, 75, 76, 78, 84, 89, 90
 76: 15, 17, 35, 54, 62, 66, 73, 85, 90, 91
 77: 6, 30, 46, 47, 49, 61, 64, 85, 89, 90
 78: 6, 23, 46, 52, 56, 62, 79, 86, 91, 94
 79: 23, 26, 29, 39, 55, 63, 81, 82, 88, 93
 80: 9, 15, 19, 42, 56, 59, 63, 69, 73, 78
 81: 4, 5, 7, 51, 62, 77, 79, 87, 91, 99
 82: 8, 18, 26, 35, 58, 65, 72, 74, 76, 89
 83: 32, 42, 49, 52, 54, 61, 75, 81, 82, 94
 84: 10, 25, 52, 57, 62, 64, 68, 69, 76, 89
